Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"DALY, Mr Eugene Patrick",29,3rd Class Passenger,382651£7 15s,Queenstown,Farm Labourer,B* 
"DANBOM, Mr Ernst Gilbert",34,3rd Class Passenger,347080£14 8s,Southampton,General Labourer,[197]
"DANBOM, Mrs Anna Sigrid Maria",28,3rd Class Passenger,347080£14 8s,Southampton,,
"DANBOM, Master Gilbert Sigvard Emanuel",4m,3rd Class Passenger,347080£14 8s,Southampton,,
"DANIEL, Mr Robert Williams",27,1st Class Passenger,113804£30 10s,Southampton,,7* 
"DANIELS, Mr Sidney Edward",18,Victualling Crew,,Southampton,Third class steward,B* 
"DANIELS, Miss Sarah Rebecca",36,1st Class PassengerServant,113781£151 16s,Southampton,Personal Maid,8* 
"DASHWOOD, Mr William George",18,Victualling Crew,,Southampton,Saloon Steward (2nd class),[83]
"DAVIDSON, Mr Thornton",31,1st Class Passenger,12750£52,Cherbourg,,
"DAVIDSON, Mrs Orian",27,1st Class Passenger,12750£52,Cherbourg,,3
"DAVIES, Mr Gordon Raleigh",32,Victualling Crew,,Belfast,1st Class Bedroom Steward,
"DAVIES, Mr Robert J.",26,Victualling Crew,,Belfast,Saloon Steward,[191]
"DAVIES, Mr Charles Henry",19,2nd Class Passenger,14879£73 10s,Southampton,,
"DAVIES, Mrs Agnes",48,2nd Class Passenger,33112£36 15s,Southampton,,14* 
"DAVIES, Master John Morgan jr",8,2nd Class Passenger,33112£36 15s,Southampton,,14* 
"DAVIES, Mr Thomas",33,Engineering Crew,,Southampton,Leading Fireman,
"DAVIES, Mr H. V.",,2nd Class PassengerCross Channel Passenger,406£2,Southampton,,
"DAVIES, Miss K.",,2nd Class PassengerCross Channel Passenger,406£2,Southampton,,
"DAVIES, Mr Evan Lewis",22,3rd Class Passenger,23568£8 1s,Southampton,Miner,
"DAVIES, Mr Alfred James",24,3rd Class Passenger,48871£24 3s,Southampton,Caster,
"DAVIES, Mr John",22,3rd Class Passenger,48871£24 3s,Southampton,Ironworker,
"DAVIES, Mr Joseph",17,3rd Class Passenger,48873£8 1s,Southampton,Ironworker,
"DAVIS, Mr John",27,Victualling Crew,,Belfast,Extra 2nd Baker,[200]
"DAVIS, Mr Stephen James",39,Deck Crew,,Southampton,Able Seaman,
"DAVIS, Miss Mary Ann Charlotte",28,2nd Class Passenger,237668£13,Southampton,,
"DAVISON, Mr Thomas Henry",32,3rd Class Passenger,386525£16 2s,Southampton,Blacksmith,
"DAVISON, Mrs Mary Elizabeth",34,3rd Class Passenger,386525£16 2s,Southampton,,10
"DAWES, Mr W. W.",38,Victualling CrewDischarged Crew,,Southampton,First Class Saloon Steward,
"DAWKINS, Mr P.",24,Victualling CrewFailed to Join Ship,,Southampton,Assistant Cook,
"DAWSON, Mr Joseph",23,Engineering Crew,,Southampton,Trimmer,[227]
"DE GRASSE, Mr J.",,2nd Class PassengerCross Channel Passenger,761£1,Southampton,,
"DE MARSICO, Sig. Govanni",20,Restaurant Staff,,Southampton,Assistant Waiter,
"DE MESSEMAEKER, Mr Guillaume Joseph",36,3rd Class Passenger,345572£17 8s,Southampton,,15
"DE MESSEMAEKER, Mrs Anna",36,3rd Class Passenger,345572£17 8s,Southampton,,13
"DE MULDER, Mr Theodoor",30,3rd Class Passenger,345774£9 10s,Southampton,,
"DE PELSMAEKER, Mr Alfons",16,3rd Class Passenger,345778£9 10s,Southampton,Farm Labourer,
"DEACON, Mr Percy William",17,2nd Class Passenger,14879£73 10s,Southampton,Baker,
"DEAN, Mr Bertram Frank",25,3rd Class Passenger,2315£20 11s 6d,Southampton,Farmer,
"DEAN, Mrs Eva Georgetta",32,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
"DEAN, Master Bertram Vere",1,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
"DEAN, Miss Eliza Gladys Millvina",2m,3rd Class Passenger,2315£20 11s 6d,Southampton,,10
"DEAN, Mr George Fox Hopkins",19,Victualling Crew,,Southampton,Assistant Saloon Steward,[252]
"DEBREUCQ, Mr Maurice Emile Victor",18,Restaurant Staff,,Southampton,Assistant Waiter,[244]
"DECKER, Mr Charles",47,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"DEEBLE, Mr Alfred Arnold",34,Victualling Crew,,Belfast,Saloon Steward (1st class),[270]
"DEL CARLO, Mr Sebastiano",29,2nd Class Passenger,2167£27 14s 5d,Cherbourg,,[295]
"DEL CARLO, Mrs Argene",24,2nd Class Passenger,2167£27 14s 5d,Cherbourg,,
"DELALI?, Mr Redžo",25,3rd Class Passenger,349250£7 17s 11d,Southampton,General Labourer,
"DENBUOY, Mr Albert Joseph",25,2nd Class Passenger,31029£31 10s,Southampton,Fruit Farmer,
"DENKOV, Mr Mityu",30,3rd Class Passenger,349225£7 17s 11d,Southampton,General Labourer,
"DENMIGAN, Mr Charles",42,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"DENNIS, Mr Samuel",22,3rd Class Passenger,21172£7 5s,Southampton,Farmer,
"DENNIS, Mr William",26,3rd Class Passenger,21175£7 5s,Southampton,Farmer,
"DENOV, Mr Yoto",27,3rd Class Passenger,349219£7 17s 11d,Southampton,General Labourer,
"DENVER, Mr John",34,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"DERRETT, Mr Arthur Henry",28,Victualling Crew,,Belfast,Saloon Steward (1st class),
"DESLANDES, Mr Percival Stainer",38,Victualling Crew,,Southampton,Saloon Steward,[212]
"DESVERNINE, Mr Louis Gabriel",20,Restaurant Staff,,Southampton,Assistant Pastry Cook,
"DEVANEY, Miss Margaret Bedelia",20,3rd Class Passenger,330958£7 17s 7d,Queenstown,,
"DI NAPOLI, Mr E.",24,Restaurant StaffFailed to Join Ship,,Southampton,Assistant Waiter,
"DIAPER, Mr John Joseph",27,Engineering Crew,,Southampton,Fireman,
"DIBDEN, Mr William",18,2nd Class Passenger,14879£73 10s,Southampton,General Labourer,
"D?B?, Mr Ily?s",29,3rd Class Passenger,2674£7 4s 6d,Cherbourg,General Labourer,
"DICK, Mr Albert Adrian",31,1st Class Passenger,17474£57,Southampton,,3
"DICK, Mrs Vera",17,1st Class Passenger,17474£57,Southampton,,3
"DICKSON, Mr William",37,Engineering CrewSubstitute Crew,,Southampton,Trimmer,
"DIKA, Mr Mirko",17,3rd Class Passenger,349232£7 17s 11d,Southampton,,
"DILLON, Mr Thomas Patrick",33,Engineering Crew,,Southampton,Trimmer,4
"DIMI?, Mr Jovan",42,3rd Class Passenger,315088£8 13s 3d,Southampton,,
"DINCHEV, Mr Vulcho",43,3rd Class Passenger,349226£7 17s 11d,Southampton,,
"DINENAGE, Mr James Richard",49,Victualling Crew,,Southampton,Saloon Steward (1st class),
"DODD, Mr George Charles",44,Victualling Crew,,Belfast,"Second Steward, 1st Class",
"DODD, Mr Edward Charles",39,Engineering Crew,,Belfast,Junior 3rd. Engineer,
"DODDS, Mr Henry Watson",26,Engineering CrewSubstitute Crew,,Southampton,Junior Assistant 4th Engineer,
"DODGE, Dr Washington",52,1st Class Passenger,33638£81 17s 2d,Southampton,Politician,13
"DODGE, Mrs Ruth",38,1st Class Passenger,33638£81 17s 2d,Southampton,,5
"DODGE, Master Washington",4,1st Class Passenger,33638£81 17s 2d,Southampton,,5
"DOEL, Mr Frederick",22,Engineering Crew,,Southampton,Fireman,
"DOHERTY, Mr William John",22,3rd Class Passenger,330877£8 9s 2d,Queenstown,,
"DOLBY, Mr Joseph",38,Victualling Crew,,Belfast,Reception Steward (1st Class),
"DOLING, Mrs Ada Julia Elizabeth",34,2nd Class Passenger,231919£23,Southampton,,
"DOLING, Miss Elsie",18,2nd Class Passenger,231919£23,Southampton,,
"DONATI, Sig. Italo Francesco",17,Restaurant Staff,,Southampton,Assistant Waiter,[311]
"DONOGHUE, Mr Florence Thomas",31,Victualling Crew,,Belfast,Bed Room Steward,
"DONOHOE, Mr Hugh Moses",37,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"DONOHOE, Miss Bridget",21,3rd Class Passenger,364856£7 15s,Queenstown,,
"DOOLEY, Mr Patrick",37,3rd Class Passenger,370376£7 15s,Queenstown,General Labourer,
"DORE, Mr Albert James",22,Engineering Crew,,Southampton,Trimmer,
"DORKINGS, Mr Edward Arthur",18,3rd Class Passenger,10482£8 1s,Southampton,Groom,B* 
"DORNIER, Mr Louis Auguste",20,Restaurant Staff,,Southampton,Assistant Fish Cook,
"DOUGHTY, Mr Walter Thomas",22,Victualling Crew,,Southampton,Saloon Steward (2nd class),
"DOUGLAS, Mr William",32,Deck Crew(Delivery trip only),,Belfast,Able Seaman,
"DOUGLAS, Mr Walter Donald",50,1st Class Passenger,17761£106 8s 6d,Cherbourg,,[62]
"DOUGLAS, Mrs Mahala",48,1st Class Passenger,17761£106 8s 6d,Cherbourg,,2
"DOUGLAS, Mrs Mary Hélène",27,1st Class Passenger,17558£247 10s 5d,Cherbourg,,6* 
"DOUTON, Mr William Joseph",55,2nd Class Passenger,28403£26,Southampton,Quarryman,
"DOWDELL, Miss Elizabeth",31,3rd Class Passenger,364516£12 9s 6d,Southampton,Housekeeper,13
"DOYLE, Miss Elizabeth",28,3rd Class Passenger,368702£7 15s,Queenstown,,
"DOYLE, Mr Laurence",27,Engineering Crew,,Southampton,Fireman,
"DRAŽENOVI?, Mr Jozef",33,3rd Class Passenger,349241£7 17s 11d,Cherbourg,General Labourer,[51]
"DREW, Mr James Vivian",42,2nd Class Passenger,28220£32 10s,Southampton,,
"DREW, Mrs Maria Louisa Thorne",34,2nd Class Passenger,28220£32 10s,Southampton,,
"DREW, Master Marshall Brines",8,2nd Class Passenger,28220£32 10s,Southampton,,
"DRISCOLL, Miss Bridget",27,3rd Class Passenger,14311£7 15s,Queenstown,,
"DROPKIN, Miss Jennie",24,3rd Class Passenger,392083£8 1s,Southampton,Box Maker,
"DUFF GORDON, Sir Cosmo Edmund",49,1st Class Passenger,11755£39 12s,Cherbourg,Landowner,1
"DUFF GORDON, Lucy Christiana, Lady",48,1st Class Passenger,17485£56 18s 7d,Cherbourg,Dressmaker / Couturiere,1
"DUFFY, Mr William Luke",36,Engineering Crew,,Belfast,Writer / Engineer's Clerk,
"DULLES, Mr William Crothers",39,1st Class Passenger,17580£29 14s,Cherbourg,,[133]
"DUNFORD, Mr William",48,Victualling Crew,,Southampton,Hospital Steward,[71]
"DUNLOP, Mr Joseph",47,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"DUQUEMIN, Mr Joseph Pierre",24,3rd Class Passenger,752£7 11s,Southampton,Mason,D 
"DURÁN I MONÉ, Miss Florentina",30,2nd Class Passenger,2148£13 17s 2d,Cherbourg,,12
"DURÁN I MONÉ, Miss Asuncion",27,2nd Class Passenger,2149£13 17s 2d,Cherbourg,,12
"DWAN, Mr Frank",65,3rd Class Passenger,336439£7 15s,Queenstown,Fisherman,
"DYER, Mr William Henry",33,Victualling Crew,,Southampton,Saloon Steward (1st class),
"DYER, Mr Henry Ryland",24,Engineering Crew,,Belfast,Senior Assistant 4th. Engineer,
"DYER EDWARDES, Mr Thomas",65,1st Class PassengerCross Channel Passenger,87£3,Southampton,,
"DYER EDWARDES, Mrs Clementina Georgina Lucy Drummond",53,1st Class PassengerCross Channel Passenger,87£3,Southampton,,
"DYKER, Mr Adolf Fredrik",23,3rd Class Passenger,347072£13 18s,Southampton,General Labourer,
"DYKER, Mrs Anna Elisabeth Judith",22,3rd Class Passenger,347072£13 18s,Southampton,Singer,
"DYMOND, Mr Frank",36,Engineering Crew,,Southampton,Fireman,15
"EAGLE, Mr Alfred James Jacob",27,Engineering Crew,,Southampton,Trimmer,
"EARNSHAW, Mrs Olive",23,1st Class Passenger,11767£83 3s 2d,Cherbourg,Of Independent Means,7
"EASTMAN, Mr Charles",44,Engineering Crew,,Southampton,Greaser,
"EDBROOKE, Mr Francis Samuel Jacob",23,Victualling Crew,,Southampton,Third class steward,
"EDE, Mr George Bulkeley",23,Victualling Crew,,Southampton,3rd Class Steward,
"EDGE, Mr Frederick William",39,Victualling Crew,,Southampton,Deck Steward (2nd class),
"EDVARDSSON, Mr Gustaf Hjalmar",18,3rd Class Passenger,349912£7 15s 6d,Southampton,General Labourer,
"EDWARDS, Mr Charles Essex",49,Victualling Crew,,Southampton,Assistant Pantryman Steward (1st Class),
"EGG, Mr William Henry",48,Victualling Crew,,Southampton,Third class steward,
"EITEMILLER, Mr George Floyd",25,2nd Class Passenger,29751£13,Southampton,,
"EKLUND, Mr Hans Linus",16,3rd Class Passenger,347074£7 15s 6d,Southampton,General Labourer,
"EKSTRÖM, Mr Johan",45,3rd Class Passenger,347061£6 19s 6d,Southampton,General Labourer,
"ELIAS, Mr Joseph jr.",15,3rd Class Passenger,2690£7 4s 7d,Cherbourg,General Labourer,
"ELIAS, Mr Joseph",39,3rd Class Passenger,2675£7 4s 7d,Cherbourg,,
"ELIAS NASRALLAH, Mr Tannous",22,3rd Class Passenger,2695£7 4s 7d,Cherbourg,General Labourer,
"ELLIOTT, Mr Everett Edward",23,Engineering Crew,,Southampton,Trimmer,[317]
"ELLIS, Mr John Bertie",28,Victualling Crew,,Southampton,Assistant Vegetable Cook,2* 
"ELLISON, Mr Joseph",29,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"ELSBURY, Mr William James",48,3rd Class Passenger,3902£7 5s,Southampton,Farmer,
"EMANUEL, Miss Virginia Ethel",6,3rd Class Passenger,364516£12 9s 6d,Southampton,,13
"ENANDER, Mr Ingvar",21,2nd Class Passenger,236854£13,Southampton,,
"ENDRES, Miss Caroline Louise",39,1st Class PassengerServant,17757£247 10s 6d,Cherbourg,Nurse,4
"ENNES, Mr William",28,Engineering Crew(Delivery trip only),,Belfast,Leading Fireman,
"ENNIS, Mr Walter",34,Victualling Crew,,Southampton,Turkish Bath Attendant,
"ERVINE, Mr Albert George",18,Engineering Crew,,Belfast,Assistant Electrician,
"ESTANISLAU, Mr Manuel Gonçalves",37,3rd Class Passenger,3101306£7 1s,Southampton,General Labourer,
"ETCHES, Mr Henry Samuel",43,Victualling Crew,,Belfast,First class bedroom steward,5
"ETTLINGER, Mr Peter",31,Victualling CrewDischarged Crew,,Southampton,Second Class Saloon Steward,
"EUSTIS, Miss Elizabeth Mussey",54,1st Class Passenger,36947£78 5s 4d,Cherbourg,,4
"EVANS, Mr Alfred Frank",25,Deck Crew,,Southampton,Lookout,15* 
"EVANS, Mr Frank Oliver",27,Deck Crew,,Southampton,Able Seaman,10
"EVANS, Mr George Richard",27,Victualling Crew,,Belfast,Saloon Steward (1st class),
"EVANS, Miss Edith Corse",36,1st Class Passenger,17531£31 13s 7d,Cherbourg,,
"EVANS, Miss",,2nd Class PassengerCross Channel Passenger,88£1,Southampton,,
"EVANS, Mr William Thomas",33,Engineering Crew,,Southampton,Trimmer,[31]
"EVERETT, Mr Thomas James",37,3rd Class Passenger,6212£15 2s,Southampton,Crane Operator,[187]
"FAHLSTRØM, Mr Arne Joma",18,2nd Class Passenger,236171£13,Southampton,,
"FAIRALL, Mr Henry Charles",40,Victualling Crew,,Belfast,Saloon Steward (1st class),
"FARDON, Mr Charles Richard",46,3rd Class Passenger,3101314£7 5s,Southampton,Carpenter / Joiner,
"FARENDEN, Mr Ernest John",22,Victualling Crew,,Belfast,Confectioner,
"FARLEY, Mr John",31,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FARQUHARSON, Mr William Edward",39,Engineering Crew,,Belfast,Senior 2nd. Engineer,
"FARRELL, Mr James",26,3rd Class Passenger,367232£7 15s,Queenstown,Farm Labourer,[68]
"FARTHING, Mr John",48,1st Class PassengerServant,17483£221 15s 7d,Southampton,Servant,
"FAULKNER, Mr William Stephen",37,Victualling Crew,,Belfast,1st Class Bedroom Steward,11* 
"FAUNTHORPE, Mr Harry Bartram",31,2nd Class Passenger,2926£26,Southampton,,[286]
"FAY, Mr Thomas Joseph",30,Engineering Crew,,Southampton,Greaser,
"FEI, Sig. Carlo",19,Restaurant Staff,,Southampton,Scullion,
"FELLOWES, Mr Alfred James",28,Victualling Crew,,Belfast,Assistant boots steward (1st class),[138]
"FELTHAM, Mr George William",41,Victualling Crew,,Southampton,Vienna Baker,
"FERRARY, Mr Anton",33,Engineering Crew,,Southampton,Trimmer,
"FERRIS, Mr George",34,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FERRIS, Mr William",39,Engineering Crew,,Southampton,Leading Fireman,
"FERRON, Mr Nicholas",34,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FILLBROOK, Mr Joseph Charles",18,2nd Class Passenger,15185£10 10s,Southampton,Painter & Decorator,
"FINCH, Mr Henry Herman",18,Victualling Crew,,Southampton,Steward (3rd Class),
"FINOLI, Mr Luigi",41,3rd Class Passenger,3101308£7 1s,Southampton,,15* 
"FIORAVANTE, Sig. Giuseppe Bertoldo",23,Restaurant Staff,,Southampton,Assistant Scullion,
"FISCHER, Mr Eberhard Thelander",18,3rd Class Passenger,350036£7 15s 11d,Southampton,,
"FISH, Mr B.",38,Victualling CrewFailed to Join Ship,,Southampton,First Class Steward,
"FISHER, Mr R.",24,Victualling CrewFailed to Join Ship,,Southampton,Second Class Plate Steward,
"FITZPATRICK, Mr Hugh Joseph",29,Engineering Crew,,Belfast,Junior Boilermaker,
"FITZPATRICK, Mr Cecil William",21,Engineering Crew,,Southampton,Mess Steward,B 
"FLACK, Mr John",28,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"FLAHERTY, Mr Edward",52,Engineering Crew,,Southampton,Fireman,
"FLANNIGAN, Mr Thomas",45,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FLEET, Mr Frederick",24,Deck Crew,,Belfast,Lookout,6
"FLEGENHEIM, Mrs Antoinette",48,1st Class Passenger,17598£31 13s 8d,Cherbourg,,7
"FLEMING, Miss Honor",22,3rd Class Passenger,364859£7 15s,Queenstown,,
"FLEMING, Miss Margaret",42,1st Class PassengerServant,17421£110 17s 8d,Cherbourg,Personal Maid,4
"FLEMING, Mr William",35,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"FLETCHER, Mr Robert",39,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FLETCHER, Mr Percy William",25,Victualling Crew,,Belfast,Bugler Steward,
"FLETCHER, Miss N.",,1st Class PassengerCross Channel Passenger,405£1 10s,Southampton,,
"FLYNN, Mr James",28,3rd Class Passenger,364851£7 15s,Queenstown,General Labourer,
"FLYNN, Mr John",48,3rd Class Passenger,368323£6 19s,Queenstown,Farm Labourer,
"FLYNN, Mr Michael",32,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"FLYNN, Mr John Irwin",36,1st Class Passenger,PC 14474£26 5s 9d,Southampton,,5
"FOLEY, Mr Joseph",19,3rd Class Passenger,330910£7 17s 7d,Queenstown,Farm Labourer,
"FOLEY, Mr William",20,3rd Class Passenger,365235£7 15s,Queenstown,Farm Labourer,
"FOLEY, Mr John",46,Deck Crew,,Belfast,Deck storekeeper,4
"FOLEY, Mr Wilfred Cyril",21,Victualling Crew,,Southampton,3rd Class Steward,13
"FOO, Mr Choong",32,3rd Class Passenger,1601£56 9s 11d,Southampton,Seaman,
"FORD, Mr Arthur",23,3rd Class Passenger,1478£8 1s,Southampton,Carpenter / Joiner,
"FORD, Mrs Margaret Ann Watson",54,3rd Class Passenger,6608£34 7s 6d,Southampton,Farmer,
"FORD, Miss Dollina Margaret",20,3rd Class Passenger,6608£34 7s 6d,Southampton,Servant,
"FORD, Mr Edward Watson",18,3rd Class Passenger,6608£34 7s 6d,Southampton,Blacksmith,
"FORD, Mr William Neal Thomas",14,3rd Class Passenger,6608£34 7s 6d,Southampton,Messenger,
"FORD, Miss Robina Maggie",7,3rd Class Passenger,6608£34 7s 6d,Southampton,,
"FORD, Mr Ernest",33,Victualling Crew,,Southampton,3rd Class Steward,
"FORD, Mr Francis",44,Victualling Crew,,Southampton,Bedroom Steward (2nd class),
"FORD, Mr H.",22,Engineering Crew,,Southampton,Trimmer,
"FORD, Mr Thomas",33,Engineering Crew,,Southampton,Leading Fireman,
"FOREMAN, Mr Benjamin Laventall",30,1st Class Passenger,113051£27 15s,Southampton,,
"FORMAN, Mr J.",,1st Class PassengerCross Channel Passenger,85£3,Southampton,,
"FORMAN, Mrs",,1st Class PassengerCross Channel Passenger,85£3,Southampton,,
"FORTUNE, Mr Mark",64,1st Class Passenger,19950£263,Southampton,,
"FORTUNE, Mrs Mary",60,1st Class Passenger,19950£263,Southampton,,10* 
"FORTUNE, Miss Ethel Flora",28,1st Class Passenger,19950£263,Southampton,,10* 
"FORTUNE, Miss Alice Elizabeth",24,1st Class Passenger,19950£263,Southampton,,10* 
"FORTUNE, Miss Mabel Helen",23,1st Class Passenger,19950£263,Southampton,,10* 
"FORTUNE, Mr Charles Alexander",19,1st Class Passenger,19950£263,Southampton,,
"FORWARD, Mr James",27,Deck Crew,,Southampton,Able Seaman,16* 
"FOSTER, Mr Alfred Charles",37,Engineering Crew,,Belfast,Storekeeper (Engineering),
"FOX, Mr Patrick",28,3rd Class Passenger,368573£7 15s,Queenstown,General Labourer,
"FOX, Mr William Thomas",27,Victualling Crew,,Southampton,Steward,
"FOX, Mr Stanley Harrington",38,2nd Class Passenger,229236£13,Southampton,Businessman,[236]
"FRANCATELLI, Miss Laura Mabel",31,1st Class PassengerServant,17485£56 18s 7d,Cherbourg,Secretary,1
"FRANKLIN, Mr Alan Vincent",28,Victualling Crew,,Southampton,Saloon Steward (2nd class),[262]
"FRANKLIN, Mr Thomas Parnham",37,1st Class Passenger,113778£26 11s,Southampton,,
"FRASER, Mr James",30,Engineering Crew,,Belfast,Junior Assistant 3rd. Engineer,
"FRASER, Mr J.",30,Engineering Crew,,Southampton,Fireman,
"FRAUENTHAL, Mr Isaac Gerry",43,1st Class Passenger,17765£27 14s 5d,Cherbourg,,5
"FRAUENTHAL, Dr Henry William",49,1st Class Passenger,17611£133 13s,Southampton,Doctor,5
"FRAUENTHAL, Mrs Clara",42,1st Class Passenger,17611£133 13s,Southampton,,5
"FREDERICKS, Mr Walter Francis",21,Engineering Crew,,Southampton,Trimmer,15
"FREEMAN, Mr Ernest Edward Samuel",45,Victualling Crew,,Belfast,Deck Steward (1st Class),[239]
"FRÖLICHER, Miss Hedwig Margaritha",22,1st Class Passenger,13568£49 10s,Cherbourg,,5
"FRÖLICHER-STEHLI, Mr Maximilian Josef",60,1st Class Passenger,13567£79 4s,Cherbourg,,5
"FRÖLICHER-STEHLI, Mrs Margaretha Emerentia",48,1st Class Passenger,13567£79 4s,Cherbourg,,5
"FROST, Mr Anthony Wood",38,2nd Class PassengerH&W Guarantee Group,239854,Belfast,Fitter,
"FRY, Mr Richard Thomas",39,1st Class PassengerServant,112058,Southampton,Personal Valet,
"FRYER, Mr Albert Ernest",29,Engineering Crew,,Southampton,Trimmer,13* 
"FUNK, Miss Annie Clemmer",38,2nd Class Passenger,237671£13,Southampton,Missionary,
"FUTRELLE, Mr Jacques Heath",37,1st Class Passenger,113803£53 2s,Southampton,Writer,
"FUTRELLE, Mrs Lily May",35,1st Class Passenger,113803£53 2s,Southampton,,9
"FYNNEY, Mr Joseph J.",36,2nd Class Passenger,239865£26,Southampton,Rubber Merchant,[322]
"GALE, Mr Harry",37,2nd Class Passenger,28664£21,Southampton,Miner,
"GALE, Mr Shadrach",33,2nd Class Passenger,28664£21,Southampton,Miner,
"GALLAGHER, Mr Martin",29,3rd Class Passenger,36864£7 14s 10d,Queenstown,Farm Labourer,
"GAMBLE, Mr William",28,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"GARFIRTH, Mr John",21,3rd Class Passenger,358585£14 10s,Southampton,Shoemaker,
"GARSIDE, Miss Ethel",39,2nd Class Passenger,243880£13,Southampton,,
"GASKELL, Mr William Alfred",19,2nd Class Passenger,239865£26,Southampton,Cooper,
"GASS, Mr David",47,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"GATTI, Sig. Gaspare Antonio Pietro",37,Restaurant Staff,,Southampton,Ã  la Carte Restaurant Manager,[313]
"GAVEY, Mr Laurence",26,2nd Class Passenger,31028£10 10s,Southampton,,
"GEDDES, Mr Richard Charles",32,Victualling Crew,,Southampton,Bed Room Steward (1st class),
"GEE, Mr Arthur",47,1st Class Passenger,111320£38 10s,Southampton,,[275]
"GEER, Mr Alfred Emest",26,Engineering CrewSubstitute Crew,,Southampton,Fireman,
"GEORGIEV, Mr Stenyu",,3rd Class Passenger,349254£7 17s 11d,Cherbourg,General Labourer,
"GIBBONS, Mr Jacob William",36,Victualling Crew,,Southampton,Second Class Steward,11
"GIBSON, Mr Thomas",20,Engineering Crew(Delivery trip only),,Belfast,Trimmer,
"GIBSON, Mrs Pauline Caroline",45,1st Class Passenger,112378£59 8s,Cherbourg,,7
"GIBSON, Miss Dorothy Winifred",22,1st Class Passenger,112378£59 8s,Cherbourg,,7
"GIBSON, Mr William",43,Engineering Crew(Delivery trip only),,Belfast,Greaser,
"GIEGER, Miss Amalie Henriette",35,1st Class PassengerServant,113503£211 10s,Southampton,Personal Maid,4
"GIGLIO, Mr Victor Gaitan Andrea",23,1st Class PassengerServant,17593£79 4s,Cherbourg,Servant,
"GILARDINO, Sig. Vincenzo Pio",31,Restaurant Staff,,Southampton,Waiter,
"GILBERT, Mr William",46,2nd Class Passenger,30769£10 10s,Southampton,,
"GILES, Mr John Robert",32,Victualling Crew,,Southampton,2nd Baker,
"GILES, Mr Edgar",18,2nd Class Passenger,28133£11 10s,Southampton,Cab Driver,
"GILES, Mr Frederick Edward",20,2nd Class Passenger,28134£11 10s,Southampton,Bus Driver,
"GILES, Mr Ralph",24,2nd Class Passenger,248726£13 10s,Southampton,,[297]
"GILINSKI, Mr Eliezer",23,3rd Class Passenger,14973£8 1s,Southampton,Locksmith,[47]
"GILL, Mr Joseph Stanley",38,Victualling Crew,,Belfast,Bed Room Steward,[49]
"GILL, Mr Patrick",38,Victualling Crew,,Southampton,Ship's Cook,
"GILL, Mr John",24,2nd Class Passenger,233866£13,Southampton,Chauffeur,[155]
"GILLESPIE, Mr William Henry",31,2nd Class Passenger,12233£13,Southampton,Clerk,
"GILNAGH, Miss Kate",17,3rd Class Passenger,35851£7 14s 8d,Queenstown,,
"GIVARD, Mr Hans Kristensen",27,2nd Class Passenger,250646£13,Southampton,,[305]
"GLYNN, Miss Mary Agatha",18,3rd Class Passenger,335677£7 15s,Queenstown,Maid,13
"GODLEY, Mr George Auguste",38,Engineering Crew,,Southampton,Fireman,
"GODWIN, Mr Frederick Charles",36,Engineering Crew,,Southampton,Greaser,
"GOLD, Mrs Jane Kate Coulson",45,Victualling Crew,,Southampton,Stewardess,11
"GOLDENBERG, Mr Samuel Levi",47,1st Class Passenger,17453£89 2s 1d,Cherbourg,,5
"GOLDENBERG, Mrs Nella Carlynne",46,1st Class Passenger,17453£89 2s 1d,Cherbourg,,5
"GOLDER, Mr Martin William",35,Engineering Crew,,Southampton,Fireman,
"GOLDSCHMIDT, Mr George B.",71,1st Class Passenger,17754£34 13s 1d,Cherbourg,Lawyer,
"GOLDSMITH, Mr Frank John",33,3rd Class Passenger,363291£20 10s 6d,Southampton,Turner,
"GOLDSMITH, Mrs Emily Alice",31,3rd Class Passenger,363291£20 10s 6d,Southampton,,C 
"GOLDSMITH, Master Frank John William",9,3rd Class Passenger,363291£20 10s 6d,Southampton,,C 
"GOLDSMITH, Mr Nathan",41,3rd Class Passenger,3101263£7 17s,Southampton,Shoemaker,
"GOLLOP, Mr Percival Salisbury",30,Victualling Crew,,Southampton,Assistant Passage Cook,
"GOODWIN, Mr Frederick Joseph",42,3rd Class Passenger,2144£46 18s,Southampton,Engineer,
"GOODWIN, Mrs Augusta",43,3rd Class Passenger,2144£46 18s,Southampton,,
